WPN(10),degree,betweenness,closeness,coreness,PageRank,e-coreness,ITFS
top-1,1,1,1,1,1,1,1
top-2,1,1,1,1,1,1,1
top-3,1,1,1,0.666666687,1,1,1
top-4,1,1,1,0.5,1,1,1
top-5,1,0.800000012,0.800000012,0.400000006,1,1,1
top-6,0.833333313,0.666666687,0.833333313,0.5,0.833333313,0.833333313,0.833333313
top-7,0.714285731,0.714285731,0.714285731,0.428571433,0.714285731,0.714285731,0.857142866
top-8,0.75,0.75,0.625,0.375,0.75,0.75,0.75
top-9,0.666666687,0.666666687,0.555555582,0.333333343,0.666666687,0.666666687,0.666666687
top-10,0.600000024,0.600000024,0.5,0.300000012,0.600000024,0.600000024,0.600000024
top-11,0.545454562,0.545454562,0.454545468,0.272727281,0.545454562,0.545454562,0.545454562
top-12,0.5,0.5,0.5,0.25,0.5,0.5,0.5
top-13,0.461538464,0.461538464,0.461538464,0.230769232,0.461538464,0.461538464,0.461538464
top-14,0.428571433,0.5,0.428571433,0.285714298,0.428571433,0.428571433,0.428571433
top-15,0.400000006,0.466666669,0.400000006,0.266666681,0.400000006,0.400000006,0.466666669
top-16,0.375,0.4375,0.375,0.3125,0.375,0.4375,0.5
top-17,0.352941185,0.411764711,0.411764711,0.294117659,0.352941185,0.411764711,0.470588237
top-18,0.333333343,0.388888896,0.388888896,0.277777791,0.333333343,0.388888896,0.444444448
top-19,0.315789461,0.368421048,0.368421048,0.263157904,0.315789461,0.368421048,0.421052635
top-20,0.300000012,0.349999994,0.349999994,0.25,0.300000012,0.349999994,0.400000006
top-21,0.285714298,0.333333343,0.333333343,0.238095239,0.285714298,0.333333343,0.380952388
top-22,0.318181813,0.318181813,0.318181813,0.227272734,0.272727281,0.318181813,0.363636374
top-23,0.304347813,0.304347813,0.304347813,0.217391297,0.260869563,0.304347813,0.347826093
top-24,0.291666657,0.291666657,0.291666657,0.208333328,0.25,0.291666657,0.333333343
top-25,0.280000001,0.280000001,0.280000001,0.239999995,0.280000001,0.280000001,0.319999993
top-26,0.269230783,0.269230783,0.269230783,0.230769232,0.269230783,0.269230783,0.307692319
top-27,0.259259254,0.259259254,0.259259254,0.222222224,0.259259254,0.259259254,0.296296299
top-28,0.25,0.25,0.285714298,0.25,0.25,0.285714298,0.285714298
top-29,0.241379306,0.241379306,0.275862068,0.241379306,0.241379306,0.275862068,0.275862068
top-30,0.233333334,0.233333334,0.266666681,0.233333334,0.233333334,0.266666681,0.266666681
