WPN(10),degree,betweenness,closeness,coreness,PageRank,e-coreness,IFST
1,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
3,0.300000012,0.300000012,0.300000012,0.200000003,0.300000012,0.300000012,0.300000012
4,0.400000006,0.400000006,0.400000006,0.200000003,0.400000006,0.400000006,0.400000006
5,0.5,0.400000006,0.400000006,0.200000003,0.5,0.5,0.5
6,0.5,0.400000006,0.5,0.300000012,0.5,0.5,0.5
7,0.5,0.5,0.5,0.300000012,0.5,0.5,0.600000024
8,0.600000024,0.600000024,0.5,0.300000012,0.600000024,0.600000024,0.600000024
9,0.600000024,0.600000024,0.5,0.300000012,0.600000024,0.600000024,0.600000024
10,0.600000024,0.600000024,0.5,0.300000012,0.600000024,0.600000024,0.600000024
11,0.600000024,0.600000024,0.5,0.300000012,0.600000024,0.600000024,0.600000024
12,0.600000024,0.600000024,0.600000024,0.300000012,0.600000024,0.600000024,0.600000024
13,0.600000024,0.600000024,0.600000024,0.300000012,0.600000024,0.600000024,0.600000024
14,0.600000024,0.699999988,0.600000024,0.400000006,0.600000024,0.600000024,0.600000024
15,0.600000024,0.699999988,0.600000024,0.400000006,0.600000024,0.600000024,0.699999988
16,0.600000024,0.699999988,0.600000024,0.5,0.600000024,0.699999988,0.800000012
17,0.600000024,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
18,0.600000024,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
19,0.600000024,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
20,0.600000024,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
21,0.600000024,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
22,0.699999988,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
23,0.699999988,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
24,0.699999988,0.699999988,0.699999988,0.5,0.600000024,0.699999988,0.800000012
25,0.699999988,0.699999988,0.699999988,0.600000024,0.699999988,0.699999988,0.800000012
26,0.699999988,0.699999988,0.699999988,0.600000024,0.699999988,0.699999988,0.800000012
27,0.699999988,0.699999988,0.699999988,0.600000024,0.699999988,0.699999988,0.800000012
28,0.699999988,0.699999988,0.800000012,0.699999988,0.699999988,0.800000012,0.800000012
29,0.699999988,0.699999988,0.800000012,0.699999988,0.699999988,0.800000012,0.800000012
30,0.699999988,0.699999988,0.800000012,0.699999988,0.699999988,0.800000012,0.800000012
